student_id,exam_id
S0001,COMP113
S0001,COMP207
S0001,COMP302
S0001,MATH113
S0001,MATH203
S0001,MATH205
S0002,COMP103
S0002,COMP106
S0002,COMP112
S0002,COMP206
S0002,COMP302
S0002,MATH101
S0002,MATH110
S0002,MATH112
S0002,MATH301
S0003,COMP112
S0003,COMP114
S0003,COMP117
S0003,COMP204
S0003,COMP301
S0003,COMP302
S0003,MATH103
S0003,MATH109
S0003,MATH112
S0003,MATH209
S0004,COMP109
S0004,COMP203
S0004,COMP207
S0004,MATH105
S0004,MATH108
S0004,MATH113
S0004,MATH203
S0004,MATH210
S0005,COMP113
S0005,COMP114
S0005,COMP207
S0005,COMP211
S0005,COMP212
S0005,MATH107
S0005,MATH201
S0005,MATH301
S0006,COMP102
S0006,COMP103
S0006,COMP110
S0006,COMP206
S0006,COMP302
S0006,MATH104
S0006,MATH203
S0006,MATH206
S0006,MATH301
S0007,COMP103
S0007,COMP109
S0007,COMP113
S0007,COMP115
S0007,COMP206
S0007,MATH107
S0007,MATH203
S0007,MATH204
S0008,COMP102
S0008,COMP106
S0008,COMP109
S0008,COMP114
S0008,COMP207
S0008,MATH111
S0008,MATH205
S0008,MATH207
S0009,COMP301
S0009,COMP302
S0009,MATH111
S0009,MATH116
S0009,MATH201
S0009,MATH206
S0010,COMP103
S0010,COMP105
S0010,COMP207
S0010,MATH101
S0010,MATH104
S0010,MATH110
S0010,MATH205
S0010,MATH209
S0010,MATH301
S0011,COMP101
S0011,COMP102
S0011,COMP115
S0011,COMP201
S0011,COMP211
S0011,COMP212
S0011,MATH110
S0011,MATH115
S0011,MATH301
S0012,COMP108
S0012,COMP110
S0012,COMP114
S0012,COMP116
S0012,MATH104
S0012,MATH112
S0012,MATH114
S0012,MATH207
S0012,MATH301
S0013,COMP202
S0013,COMP204
S0013,COMP301
S0013,COMP302
S0013,MATH110
S0013,MATH113
S0013,MATH114
S0013,MATH203
S0014,COMP109
S0014,COMP301
S0014,COMP302
S0014,MATH301
S0015,COMP203
S0015,COMP209
S0015,COMP301
S0015,COMP302
S0015,MATH102
S0015,MATH209
S0015,MATH301
S0016,COMP201
S0016,COMP208
S0016,COMP301
S0016,COMP302
S0016,MATH103
S0016,MATH106
S0016,MATH209
S0016,MATH210
S0017,COMP107
S0017,COMP202
S0017,COMP205
S0017,COMP210
S0017,MATH104
S0017,MATH110
S0017,MATH111
S0017,MATH206
S0018,COMP107
S0018,COMP116
S0018,COMP206
S0018,COMP301
S0018,MATH301
S0019,COMP108
S0019,COMP113
S0019,COMP115
S0019,COMP211
S0019,MATH104
S0019,MATH110
S0019,MATH112
S0019,MATH208
S0019,MATH301
S0020,COMP107
S0020,COMP204
S0020,COMP212
S0020,COMP301
S0020,COMP302
S0020,MATH109
S0020,MATH201
S0020,MATH208
S0021,COMP101
S0021,COMP104
S0021,COMP109
S0021,MATH110
S0021,MATH112
S0021,MATH115
S0021,MATH206
S0021,MATH210
S0021,MATH301
S0022,COMP106
S0022,COMP203
S0022,COMP209
S0022,MATH104
S0022,MATH114
S0022,MATH206
S0022,MATH301
S0023,COMP108
S0023,COMP206
S0023,COMP210
S0023,MATH103
S0023,MATH105
S0023,MATH204
S0023,MATH206
S0024,COMP101
S0024,COMP116
S0024,COMP117
S0024,COMP211
S0024,COMP301
S0024,MATH301
S0025,COMP206
S0025,COMP208
S0025,COMP301
S0025,MATH103
S0025,MATH108
S0025,MATH202
S0025,MATH301
S0026,COMP102
S0026,COMP208
S0026,COMP211
S0026,COMP212
