student_id,exam_id
S0001,COMP108
S0001,ECON303
S0001,PHIL108
S0001,PSYC103
S0001,PSYC105
S0001,PSYC203
S0001,PSYC207
S0002,COMP104
S0002,COMP109
S0002,COMP205
S0002,COMP304
S0002,PSYC104
S0003,ECON204
S0003,MATH104
S0003,MATH205
S0003,MATH305
S0003,PHIL101
S0004,ECON208
S0004,MATH105
S0004,MATH208
S0004,MATH209
S0004,PSYC102
S0005,ECON403
S0005,PHIL401
S0005,PHIL404
S0005,PHIL503
S0005,PHIL506
S0005,STAT102
S0006,MATH106
S0006,PSYC201
S0006,PSYC203
S0006,PSYC207
S0006,STAT106
S0007,COMP102
S0007,COMP205
S0007,COMP209
S0007,PHIL306
S0007,PSYC103
S0008,COMP109
S0008,COMP201
S0008,COMP207
S0008,COMP208
S0008,PHIL101
S0008,PHIL105
S0008,PSYC106
S0009,COMP101
S0009,ECON404
S0009,MATH301
S0009,MATH309
S0009,MATH405
S0009,MATH508
S0010,PSYC102
S0010,PSYC108
S0010,PSYC208
S0011,ECON102
S0011,ECON204
S0011,ECON207
S0011,PHIL106
S0011,PSYC106
S0011,STAT302
S0012,COMP202
S0012,COMP203
S0012,COMP209
S0012,COMP301
S0012,COMP306
S0012,COMP307
S0013,STAT101
S0013,STAT105
S0013,STAT108
S0013,STAT204
S0013,STAT304
S0013,STAT308
S0014,COMP104
S0014,COMP105
S0014,COMP109
S0014,COMP203
S0014,ECON305
S0014,PHIL203
S0014,PSYC202
S0015,COMP109
S0015,COMP202
S0015,COMP207
S0015,ECON106
S0015,STAT101
S0016,PHIL103
S0016,STAT302
S0016,STAT303
S0016,STAT308
S0016,STAT404
S0016,STAT406
S0017,ECON102
S0017,ECON103
S0017,ECON104
S0017,ECON201
S0017,ECON204
S0017,ECON205
S0017,ECON302
S0018,MATH109
S0018,PHIL304
S0018,PHIL307
S0018,PHIL402
S0018,PHIL406
S0018,PHIL502
S0019,STAT105
S0019,STAT108
S0019,STAT203
S0019,STAT204
S0019,STAT207
S0020,MATH204
S0020,MATH209
S0020,MATH306
S0020,MATH309
S0020,MATH401
S0020,MATH407
S0020,PHIL108
S0021,COMP309
S0021,MATH108
S0021,PSYC406
S0021,PSYC407
S0021,PSYC505
S0021,PSYC507
S0022,ECON205
S0022,ECON304
S0022,ECON305
S0022,ECON308
S0022,MATH303
S0022,PSYC106
S0023,COMP105
S0023,COMP109
S0023,COMP203
S0023,COMP209
S0023,PHIL102
S0023,STAT101
S0023,STAT201
S0024,ECON107
S0024,ECON204
S0024,ECON207
S0025,COMP106
S0025,COMP203
S0025,COMP205
S0025,COMP206
S0025,ECON205
S0026,PHIL208
S0026,PHIL307
S0026,PHIL405
S0027,ECON104
S0027,ECON105
S0027,ECON108
S0027,ECON202
S0027,PSYC108
S0027,PSYC303
S0027,STAT104
S0028,COMP109
S0028,ECON401
S0028,ECON402
S0028,ECON407
S0028,ECON505
S0028,PHIL207
S0028,PSYC206
S0029,COMP307
S0029,MATH104
S0029,MATH108
S0029,MATH203
S0029,MATH208
S0029,PSYC105
S0029,PSYC107
S0030,COMP101
S0030,COMP207
S0030,MATH202
S0030,PSYC102
S0030,PSYC103
S0030,PSYC201
S0030,PSYC202
S0031,STAT208
S0031,STAT308
S0031,STAT407
S0032,COMP301
S0032,COMP307
S0032,COMP402
S0032,COMP407
S0032,ECON108
S0033,COMP103
S0033,COMP209
S0033,COMP308
S0034,MATH205
S0034,PSYC302
S0034,PSYC304
S0034,PSYC401
S0034,PSYC404
S0034,PSYC405
S0035,ECON106
S0035,MATH108
S0035,MATH202
S0035,MATH209
S0035,STAT101
S0036,STAT102
S0036,STAT104
S0036,STAT205
S0036,STAT207
S0036,STAT208
S0037,ECON103
S0037,ECON104
S0037,ECON107
S0037,ECON208
S0038,ECON301
S0038,ECON305
S0038,ECON404
S0038,MATH103
S0038,PSYC102
S0038,PSYC108
S0039,MATH101
S0039,PSYC306
S0039,PSYC407
S0039,PSYC503
S0039,PSYC507
S0039,STAT308
S0040,COMP307
S0040,ECON205
S0040,ECON301
S0040,ECON402
S0040,ECON406
S0040,STAT105
S0041,COMP201
S0041,MATH301
S0041,PSYC103
S0041,PSYC104
S0041,PSYC201
S0041,PSYC207
S0042,COMP303
S0042,MATH405
S0042,MATH407
S0042,MATH501
S0042,STAT106
S0043,MATH205
S0043,PSYC205
S0043,PSYC207
S0043,PSYC305
S0043,PSYC306
S0043,PSYC404
S0043,PSYC406
S0044,ECON102
S0044,STAT107
S0044,STAT108
S0044,STAT203
S0044,STAT207
S0044,STAT305
S0044,STAT307
S0045,COMP103
S0045,COMP109
S0045,ECON104
S0045,STAT106
S0045,STAT302
S0046,ECON106
S0046,PSYC401
S0046,PSYC408
S0046,PSYC504
S0046,PSYC505
S0046,STAT308
S0047,COMP102
S0047,COMP302
S0047,MATH107
S0047,MATH202
S0047,MATH208
S0047,MATH209
S0048,COMP206
S0048,COMP305
S0048,COMP402
S0048,COMP404
S0048,ECON204
S0048,STAT107
S0049,ECON304
S0049,ECON305
S0049,ECON307
S0049,ECON402
S0049,ECON407
S0049,ECON408
S0050,PSYC206
S0050,PSYC307
S0050,PSYC308
S0050,PSYC401
S0050,PSYC406
S0050,STAT101
S0051,ECON103
S0051,MATH402
S0051,MATH404
S0051,MATH408
S0051,MATH506
S0051,PHIL404
S0051,STAT105
S0052,COMP101
S0052,ECON201
S0052,STAT106
S0052,STAT202
S0052,STAT208
S0053,COMP106
S0053,ECON108
S0053,ECON206
S0053,STAT102
S0054,COMP204
S0054,COMP208
S0054,COMP306
S0054,COMP307
S0054,COMP308
S0054,PHIL406
S0055,PHIL102
S0055,PHIL107
S0055,PHIL201
S0055,PHIL204
S0055,PHIL205
S0055,PSYC302
S0055,STAT107
S0056,ECON105
S0056,ECON406
S0056,PSYC205
S0056,PSYC302
S0056,PSYC404
S0056,PSYC405
S0057,COMP105
S0057,COMP108
S0057,COMP109
S0057,COMP205
S0057,COMP206
S0057,COMP309
S0058,PHIL107
S0058,PSYC104
S0058,PSYC108
S0058,PSYC205
S0058,PSYC308
S0058,STAT105
S0059,COMP101
S0059,COMP205
S0059,MATH101
S0059,MATH202
S0060,ECON101
S0060,PSYC201
S0060,PSYC202
S0060,PSYC203
S0060,PSYC303
S0060,PSYC401
S0061,STAT102
S0061,STAT103
S0061,STAT108
S0061,STAT202
S0061,STAT203
S0061,STAT205
S0062,COMP303
S0062,PSYC101
S0062,STAT105
S0062,STAT108
S0062,STAT203
S0063,COMP103
S0063,STAT105
S0063,STAT107
S0063,STAT108
S0063,STAT204
S0064,COMP401
S0064,MATH206
S0064,STAT302
S0064,STAT307
S0064,STAT406
S0064,STAT501
S0064,STAT504
S0065,MATH309
S0065,PSYC204
S0065,PSYC208
S0065,PSYC308
S0065,STAT308
S0066,COMP403
S0066,COMP408
S0066,COMP506
S0066,COMP507
S0066,STAT106
S0067,MATH104
S0067,MATH205
S0067,PSYC208
S0067,PSYC401
S0067,PSYC402
S0067,PSYC405
S0068,MATH107
S0068,MATH109
S0068,MATH208
S0068,PSYC106
S0068,PSYC108
S0068,STAT105
S0069,ECON102
S0069,ECON107
S0069,ECON108
S0069,ECON304
S0069,MATH106
S0069,PHIL102
S0069,PHIL108
S0070,PHIL108
S0070,PHIL201
S0070,PHIL203
S0070,PHIL206
S0071,ECON202
S0071,MATH105
S0071,PHIL101
S0071,PHIL102
S0071,PHIL206
S0071,PHIL308
S0072,ECON308
S0072,ECON401
S0072,ECON405
S0072,PHIL301
S0072,STAT106
