student_id,exam_id
S0001,COMP104
S0001,COMP106
S0001,COMP207
S0001,MATH101
S0001,STAT201
S0001,STAT502
S0002,COMP107
S0002,COMP204
S0002,MATH104
S0002,STAT104
S0002,STAT201
S0002,STAT206
S0003,MATH302
S0003,PHIL103
S0003,PHIL104
S0003,PHIL105
S0003,PHIL204
S0003,PHIL303
S0004,COMP206
S0004,MATH305
S0004,MATH401
S0004,MATH402
S0004,MATH404
S0004,MATH503
S0004,STAT107
S0005,COMP207
S0005,MATH105
S0005,MATH201
S0005,MATH202
S0005,PHIL202
S0006,MATH102
S0006,STAT303
S0006,STAT305
S0006,STAT402
S0006,STAT403
S0007,COMP104
S0007,COMP204
S0007,COMP207
S0008,MATH102
S0008,MATH403
S0008,PHIL107
S0008,PHIL203
S0008,STAT107
S0009,PHIL107
S0009,PHIL202
S0009,PHIL203
S0009,PHIL205
S0010,STAT301
S0010,STAT402
S0010,STAT501
S0010,STAT502
S0011,MATH107
S0011,PHIL302
S0011,PHIL304
S0011,PHIL305
S0011,PHIL401
S0011,PHIL502
S0012,MATH202
S0012,PHIL106
S0012,PHIL201
S0012,PHIL203
S0012,STAT205
S0013,COMP301
S0013,COMP304
S0013,COMP403
S0013,PHIL101
S0013,PHIL202
S0013,PHIL203
S0013,PHIL205
S0014,COMP104
S0014,COMP107
S0014,COMP203
S0014,MATH102
S0014,STAT107
S0015,COMP101
S0015,PHIL106
S0015,STAT103
S0015,STAT201
S0015,STAT202
S0015,STAT204
S0016,COMP102
S0016,MATH108
S0016,PHIL202
S0016,PHIL205
S0016,PHIL302
S0016,PHIL305
S0017,MATH103
S0017,MATH104
S0017,MATH105
S0017,MATH202
S0017,MATH205
S0017,MATH206
S0018,COMP303
S0018,COMP304
S0018,COMP305
S0018,COMP401
S0018,COMP402
S0019,STAT101
S0019,STAT106
S0019,STAT107
S0019,STAT202
S0019,STAT204
S0020,COMP106
S0020,PHIL103
S0020,STAT102
S0020,STAT105
S0020,STAT204
S0021,COMP107
S0021,COMP108
S0021,COMP205
S0022,COMP302
S0022,MATH102
S0022,PHIL104
S0022,STAT104
S0022,STAT201
S0022,STAT202
S0022,STAT203
S0023,COMP104
S0023,MATH107
S0023,MATH202
S0023,MATH204
S0023,MATH205
S0023,PHIL105
S0023,STAT102
S0024,MATH203
S0024,MATH303
S0024,PHIL104
S0024,PHIL107
S0024,PHIL302
S0024,STAT106
S0025,COMP201
S0025,PHIL107
S0025,STAT304
S0025,STAT401
S0025,STAT402
S0025,STAT404
S0025,STAT501
S0026,COMP102
S0026,COMP103
S0026,COMP302
S0026,STAT105
S0026,STAT201
S0026,STAT301
S0027,MATH102
S0027,PHIL105
S0027,PHIL107
S0027,STAT305
S0027,STAT403
S0027,STAT502
S0028,MATH202
S0028,MATH204
S0028,MATH302
S0028,MATH303
S0028,MATH304
S0028,MATH404
S0029,COMP304
S0029,COMP404
S0029,PHIL104
S0029,PHIL302
S0029,STAT201
S0030,STAT203
S0030,STAT305
S0030,STAT401
S0030,STAT404
S0031,MATH105
S0031,PHIL101
S0031,PHIL102
S0031,PHIL205
S0031,STAT202
S0032,MATH104
S0032,MATH105
S0032,MATH202
S0032,MATH302
S0032,MATH305
S0032,PHIL107
S0032,STAT205
S0033,COMP107
S0033,COMP108
S0033,COMP206
S0033,MATH106
S0033,PHIL107
S0034,MATH107
S0034,PHIL102
S0034,PHIL106
S0034,PHIL205
S0034,STAT105
S0034,STAT305
S0035,STAT201
S0035,STAT205
S0035,STAT303
S0035,STAT401
S0035,STAT403
S0036,COMP204
S0036,PHIL106
S0036,PHIL107
S0036,PHIL201
S0036,PHIL203
S0036,PHIL304
S0037,MATH201
S0037,MATH205
S0037,MATH206
