student_id,exam_id
S0001,STAT102
S0001,STAT104
S0001,STAT201
S0001,STAT202
S0001,STAT203
S0002,MATH201
S0002,MATH203
S0002,MATH302
S0002,MATH303
S0002,MATH402
S0003,COMP102
S0003,COMP201
S0003,COMP202
S0003,COMP203
S0003,MATH103
S0003,STAT402
S0004,COMP202
S0004,COMP204
S0004,MATH203
S0004,STAT102
S0004,STAT202
S0005,STAT101
S0005,STAT103
S0005,STAT104
S0005,STAT201
S0006,COMP104
S0006,COMP401
S0006,STAT102
S0006,STAT202
S0006,STAT203
S0006,STAT301
S0006,STAT302
S0007,COMP101
S0007,COMP202
S0007,MATH201
S0007,MATH202
S0007,MATH203
S0007,MATH302
S0007,MATH402
S0008,COMP303
S0008,COMP401
S0008,COMP402
S0008,STAT102
S0008,STAT202
S0009,COMP102
S0009,COMP201
S0009,COMP204
S0010,COMP104
S0010,COMP201
S0010,COMP203
S0010,COMP302
S0010,COMP303
S0010,STAT102
S0011,MATH102
S0011,MATH103
S0011,MATH201
S0011,MATH202
S0011,MATH203
S0012,COMP301
S0012,COMP302
S0012,COMP303
S0012,COMP402
S0012,COMP502
S0012,MATH103
S0013,COMP102
S0013,COMP104
S0013,COMP201
S0013,COMP203
S0013,COMP204
S0013,MATH201
S0013,STAT103
S0014,COMP102
S0014,COMP301
S0014,MATH101
S0014,MATH201
S0014,MATH203
S0014,STAT201
S0015,COMP202
S0015,COMP203
S0015,COMP204
S0015,COMP302
S0015,COMP401
S0016,COMP101
S0016,COMP201
S0016,COMP202
S0016,MATH203
S0016,MATH301
S0017,MATH401
S0017,MATH501
S0017,STAT103
S0017,STAT201
S0018,COMP101
S0018,COMP102
S0018,COMP103
S0018,COMP201
S0018,COMP303
S0019,COMP102
S0019,COMP104
S0019,COMP203
S0019,STAT103
S0019,STAT104
S0020,STAT202
S0020,STAT203
S0020,STAT301
S0020,STAT302
S0020,STAT401
S0020,STAT402
S0021,COMP101
S0021,MATH102
S0021,STAT201
S0021,STAT203
S0021,STAT301
S0021,STAT401
S0021,STAT402
S0022,COMP104
S0022,COMP201
S0022,MATH201
S0022,STAT104
S0022,STAT202
S0023,COMP202
S0023,COMP204
S0023,COMP303
S0023,COMP402
S0023,MATH201
S0023,STAT103
S0024,COMP303
S0024,MATH203
S0024,MATH303
S0024,STAT102
S0024,STAT202
S0025,COMP103
S0025,COMP201
S0025,COMP203
S0025,COMP301
S0025,COMP303
S0025,MATH103
S0025,MATH104
S0026,MATH103
S0026,MATH402
S0026,STAT402
S0026,STAT501
S0027,MATH101
S0027,MATH102
S0027,MATH103
S0027,MATH201
S0027,MATH203
S0028,COMP101
S0028,MATH203
S0028,STAT401
S0028,STAT501
S0029,COMP104
S0029,COMP502
S0029,MATH104
S0029,MATH201
S0029,MATH202
S0029,MATH203
S0030,MATH104
S0030,MATH202
S0030,MATH203
S0030,STAT203
S0030,STAT302
S0031,COMP104
S0031,MATH102
S0031,STAT101
S0031,STAT104
S0031,STAT201
S0032,COMP101
S0032,COMP102
S0032,STAT101
S0032,STAT201
S0032,STAT202
S0032,STAT203
S0033,COMP101
S0033,COMP103
S0033,COMP104
S0033,COMP201
S0033,STAT103
S0034,COMP201
S0034,STAT201
S0034,STAT202
S0034,STAT301
S0034,STAT302
S0034,STAT401
S0034,STAT402
S0035,STAT201
S0035,STAT202
S0035,STAT301
S0035,STAT302
S0035,STAT402
S0036,COMP201
S0036,COMP301
S0036,COMP303
S0036,COMP401
S0036,COMP402
S0036,MATH401
S0036,STAT103
S0037,MATH103
S0037,MATH203
S0037,STAT201
S0037,STAT202
S0037,STAT203
S0037,STAT301
S0037,STAT402
S0038,COMP302
S0038,MATH102
S0038,MATH201
S0038,MATH202
S0038,STAT201
S0039,COMP401
S0039,MATH103
S0039,MATH104
S0039,STAT202
S0039,STAT401
S0040,COMP301
S0040,COMP303
S0040,COMP401
S0040,COMP402
S0040,COMP501
S0041,COMP101
S0041,COMP102
S0041,COMP103
S0041,COMP202
S0041,MATH104
S0041,STAT401
S0042,COMP401
S0042,COMP402
S0042,COMP501
S0042,COMP502
S0042,MATH103
S0042,MATH302
S0042,STAT103
S0043,STAT101
S0043,STAT104
S0043,STAT201
S0044,COMP101
S0044,COMP202
S0044,COMP203
S0044,COMP204
S0044,MATH104
S0044,STAT103
S0045,COMP301
S0045,COMP302
S0045,COMP303
S0045,COMP401
S0045,COMP402
S0045,COMP502
S0045,STAT302
S0046,COMP103
S0046,COMP104
S0046,COMP201
S0046,COMP203
S0046,MATH102
S0046,MATH402
S0047,COMP401
S0047,COMP402
S0047,COMP501
S0047,COMP502
S0047,STAT104
S0047,STAT401
S0048,MATH201
S0048,MATH301
S0048,MATH302
S0048,MATH303
S0048,MATH401
S0048,MATH402
S0049,COMP401
S0049,COMP402
S0049,COMP501
S0049,COMP502
S0050,COMP102
S0050,COMP103
S0050,COMP104
S0050,COMP203
S0050,COMP204
S0051,COMP301
S0051,COMP402
S0051,COMP501
S0051,COMP502
S0051,STAT104
S0051,STAT202
S0051,STAT301
S0052,COMP102
S0052,COMP104
S0052,STAT102
S0052,STAT103
S0052,STAT202
S0052,STAT302
S0053,COMP101
S0053,COMP203
S0053,MATH402
S0053,MATH501
S0053,STAT203
S0054,MATH103
S0054,MATH104
S0054,MATH202
S0054,STAT101
S0054,STAT102
S0054,STAT202
S0055,MATH303
S0055,MATH402
S0055,STAT102
S0055,STAT103
S0055,STAT104
S0055,STAT202
S0055,STAT203
S0056,COMP102
S0056,MATH103
S0056,STAT104
S0056,STAT201
S0056,STAT202
S0057,COMP103
S0057,COMP201
S0057,COMP202
S0057,COMP203
S0057,STAT201
S0057,STAT302
S0058,COMP401
S0058,COMP501
S0058,COMP502
S0058,MATH103
S0058,MATH104
S0059,STAT101
S0059,STAT202
S0059,STAT203
S0059,STAT301
S0059,STAT302
S0060,MATH101
S0060,MATH203
S0060,STAT201
S0060,STAT301
S0060,STAT302
S0061,COMP102
