student_id,exam_id
S0001,COMP101
S0001,COMP104
S0001,COMP201
S0001,COMP202
S0001,COMP301
S0001,MATH301
S0002,COMP101
S0002,COMP103
S0002,COMP301
S0002,MATH101
S0002,MATH301
S0003,COMP102
S0003,COMP202
S0003,COMP301
S0003,MATH101
S0003,MATH103
S0003,MATH104
S0004,MATH101
S0004,MATH102
S0004,MATH104
S0004,MATH201
S0004,MATH202
S0005,MATH202
S0005,MATH301
S0006,COMP101
S0006,COMP103
S0006,COMP201
S0006,COMP202
S0006,MATH102
S0006,MATH201
S0007,MATH101
S0007,MATH104
S0007,MATH201
S0007,MATH202
S0007,MATH301
S0008,MATH104
S0008,MATH301
S0009,COMP202
S0009,COMP301
S0010,MATH102
S0010,MATH202
S0011,COMP301
S0011,COMP401
S0011,MATH301
S0012,COMP401
S0012,MATH103
S0012,MATH201
S0013,COMP102
S0013,COMP104
S0013,COMP202
S0013,MATH101
S0013,MATH104
S0014,MATH101
S0014,MATH103
S0014,MATH104
S0014,MATH202
S0015,COMP301
S0015,COMP401
S0015,MATH101
S0015,MATH103
S0016,COMP102
S0016,COMP201
S0016,COMP202
S0016,MATH102
S0016,MATH301
S0017,COMP102
S0017,COMP201
S0017,COMP202
S0017,MATH103
S0017,MATH202
S0017,MATH301
S0018,COMP101
S0018,MATH301
S0019,COMP101
S0019,COMP103
S0019,COMP201
S0019,COMP202
S0019,MATH101
S0019,MATH202
S0020,COMP101
S0020,COMP201
S0020,MATH301
S0021,COMP201
S0021,COMP202
S0021,MATH101
S0021,MATH104
S0021,MATH201
S0021,MATH202
S0022,COMP102
S0022,COMP103
S0022,COMP104
S0022,MATH103
S0022,MATH104
S0022,MATH301
S0023,COMP202
S0023,COMP401
S0023,MATH102
S0023,MATH103
S0023,MATH104
S0023,MATH201
S0024,COMP301
S0024,COMP401
S0024,MATH101
S0024,MATH103
S0024,MATH201
S0025,COMP103
S0025,COMP201
S0025,COMP202
S0025,COMP301
S0025,MATH101
S0025,MATH201
S0026,COMP201
S0026,COMP301
S0026,MATH101
S0026,MATH103
S0026,MATH104
S0026,MATH202
S0027,COMP101
S0027,COMP104
S0027,COMP201
S0027,COMP301
S0027,MATH103
S0027,MATH104
S0028,COMP102
S0028,COMP103
S0028,COMP104
S0028,MATH102
S0028,MATH104
S0028,MATH201
S0029,COMP104
S0029,COMP201
S0029,COMP301
S0029,MATH202
S0029,MATH301
S0030,COMP103
S0030,COMP201
S0030,COMP202
S0030,MATH102
S0030,MATH104
S0031,COMP301
S0031,COMP401
S0031,MATH102
S0031,MATH301
S0032,COMP101
S0032,COMP102
S0032,COMP201
S0032,COMP202
S0033,COMP102
S0033,COMP103
S0033,COMP104
S0033,COMP201
S0033,MATH103
S0033,MATH104
S0034,MATH202
S0034,MATH301
S0035,COMP202
S0035,COMP301
S0035,MATH201
S0035,MATH202
S0035,MATH301
S0036,COMP101
S0036,COMP201
S0036,COMP202
S0036,MATH104
S0036,MATH201
S0037,COMP101
S0037,COMP103
S0037,COMP202
S0037,MATH102
S0037,MATH201
S0037,MATH202
S0037,MATH301
S0038,COMP102
S0038,COMP104
S0038,COMP202
S0038,MATH102
S0038,MATH104
S0038,MATH201
S0039,COMP101
S0039,MATH301
S0040,COMP301
S0040,COMP401
S0040,MATH103
S0041,COMP101
S0041,COMP103
S0041,MATH101
S0041,MATH103
S0041,MATH202
S0042,COMP101
S0042,COMP202
S0043,COMP102
S0043,COMP104
S0043,COMP201
S0043,COMP202
S0043,COMP301
S0043,MATH301
S0044,COMP301
S0044,COMP401
S0044,MATH103
S0044,MATH202
S0045,COMP101
S0045,COMP201
S0045,COMP202
S0045,COMP301
